
            unit     r     c  severity   n     count
              1      1    38     1     26.2     141
              2      2    11     1     20.1      84
              3      3     5     1     22.7     105
              4      3    36     1     23.3     110
              5      4    14     1     17.1      59
              6      4    15     1     16.8      56
              7      4    22     1     16.1      56
              8      4    24     1     16.5      54
              9      4    25     1     16.8      60
             10      5     7     1     19.8      79
             11      5    15     1     15.8      50
             12      5    18     1     15.1      46
             13      6    12     1     16.1      55
             14      7     9     1     17.0      59
             15      7    17     1     13.3      36
             16      7    40     1     23.9     114
             17      8    13     1     13.9      40
             18      8    17     1     12.4      32
             19      8    37     1     20.8      89
             20      8    40     1     23.3     112
             21     10    35     1     18.0      65
             22     11    16     1      9.8      21
             23     11    30     1     13.5      38
             24     11    33     1     15.8      52
             25     12    39     1     20.6      88
             26     12    40     1     21.5      94
             27     14    29     1     10.8      24
             28     14    32     1     13.4      37
             29     15    40     1     20.6      88
             30     16    38     1     18.4      70
             31     16    40     1     20.4      85
             32     17    12     1      8.5      19
             33     18    24     1      4.5       5
             34     18    25     1      5.4       7
             35     18    38     1     18.1      67
             36     19    29     1      9.1      16
             37     19    31     1     11.0      27
             38     20    13     1      7.0      12
             39     20    27     1      7.0      11
             40     20    31     1     11.0      24
             41     20    37     1     17.0      60
             42     21    13     1      7.1      11
             43     21    28     1      8.1      15
             44     22    22     1      2.8       2
             45     24     1     1     19.4      75
             46     24    37     1     17.5      61
             47     25     5     1     15.8      53
             48     26     5     1     16.2      52
             49     26    17     1      6.7      10
             50     26    33     1     14.3      42
             51     26    39     1     19.9      81
             52     28    31     1     13.6      40
             53     29    18     1      9.2      17
             54     30     1     1     21.5      93
             55     30    18     1     10.2      23
             56     31     2     1     21.1      90
             57     31    19     1     11.0      24
             58     35     4     1     21.9      96
             59     36     3     1     23.3     111
             60     38    10     1     20.6      89
             61     39     6     1     23.6     114
             62     40    10     1     22.4     101
              1      3    30     2     19.7      78
              2      4    28     2     17.9      65
              3      6    26     2     15.2      46
              4      8     7     2     17.7      63
              5      9     9     2     15.6      50
              6      9    22     2     11.2      27
              7      9    30     2     14.9      46
              8      9    32     2     16.3      53
              9      9    33     2     17.0      60
             10     10    29     2     13.5      38
             11     11    20     2      9.0      16
             12     11    23     2      9.5      20
             13     12    26     2     10.0      22
             14     14    23     2      6.7       9
             15     16     5     2     15.5      51
             16     17    14     2      6.7      13
             17     18     3     2     17.1      61
             18     18    14     2      6.3       9
             19     19     6     2     14.0      43
             20     19    19     2      1.4       2
             21     22     3     2     17.1      59
             22     22    34     2     14.1      41
             23     23     6     2     14.3      42
             24     23    27     2      7.6      17
             25     26    11     2     10.8      24
             26     26    12     2     10.0      21
             27     27    38     2     19.3      78
             28     28     8     2     14.4      42
             29     30    33     2     16.4      55
             30     33     4     2     20.6      86
             31     33     6     2     19.1      75
             32     33    29     2     15.8      52
             33     36    32     2     20.0      83
             34     36    33     2     20.6      88
             35     38    36     2     24.1     116
             36     39    36     2     24.8     127
             37     39    38     2     26.2     139
              1      9     4     3     19.4      78
              2     10    24     3     10.8      27
              3     15    16     3      6.4      13
              4     19    18     3      2.2       5
              5     28    39     3     20.6      90
              6     29     8     3     15.0      49
              7     29    24     3      9.8      23
              8     29    26     3     10.8      26
              9     29    27     3     11.4      30
             10     30     8     3     15.6      53
             11     30    25     3     11.2      29
             12     30    28     3     12.8      38
             13     31    28     3     13.6      44
             14     32    28     3     14.4      45
             15     33    12     3     15.3      52
             16     33    27     3     14.8      48
             17     34     8     3     18.4      72
             18     34    12     3     16.1      55
             19     34    23     3     14.3      45
             20     34    26     3     15.2      49
             21     36    10     3     18.9      75
             22     36    23     3     16.3      58
             23     36    28     3     17.9      68
             24     36    30     3     18.9      75
             25     37    31     3     20.2      88
             26     37    34     3     22.0     103
             27     39    31     3     22.0      99
             28     40    16     3     20.4      87
              1     10     3     4     19.7      81
              2     14     1     4     19.9      85
              3     14     4     4     17.1      64
              4     31    36     4     19.4      79
              5     33    36     4     20.6      92
              6     33    39     4     23.0     111
              7     34    37     4     22.0     100
